expression,meaning,example,domain
cat@goo,"good form of catalyst, accelerator",cat@goo = execute in good way,action
cat@hun,"hunger, appetite while catalyst, accelerator","cat@hun = catalyst, accelerator state",action
cat@imp,"implode, collapse form of catalyst, accelerator","cat@imp = execute in implode, collapse way",action
cat@ins,"inside direction of catalyst, accelerator","cat@ins = catalyst, accelerator inside",spatial
cat@jum,"how catalyst, accelerator can jump, leap",cat@jum = capability,living
cat@lea,"how catalyst, accelerator can leader",cat@lea = capability,living
cat@lef,"left direction of catalyst, accelerator","cat@lef = catalyst, accelerator left",spatial
cat@mom,"moment, instant aspect of catalyst, accelerator","cat@mom = when to catalyst, accelerator",temporal
cat@nea,"near direction of catalyst, accelerator","cat@nea = catalyst, accelerator near",spatial
cat@nec,"neck, connect form of catalyst, accelerator","cat@nec = execute in neck, connect way",action
cat@nev,"never aspect of catalyst, accelerator","cat@nev = when to catalyst, accelerator",temporal
cat@now,"present moment aspect of catalyst, accelerator","cat@now = when to catalyst, accelerator",temporal
cat@oft,"often aspect of catalyst, accelerator","cat@oft = when to catalyst, accelerator",temporal
cat@out,"outside direction of catalyst, accelerator","cat@out = catalyst, accelerator outside",spatial
cat@pai,"paint, visual art while catalyst, accelerator","cat@pai = catalyst, accelerator state",action
cat@pas,"past aspect of catalyst, accelerator","cat@pas = when to catalyst, accelerator",temporal
cat@per,"perceive, sense form of catalyst, accelerator","cat@per = execute in perceive, sense way",action
cat@pla,"plasma, energetic while catalyst, accelerator","cat@pla = catalyst, accelerator state",action
cat@pul,"how catalyst, accelerator can pulling",cat@pul = capability,living
cat@pus,"how catalyst, accelerator can pushing",cat@pus = capability,living
cat@rig,"right direction of catalyst, accelerator","cat@rig = catalyst, accelerator right",spatial
cat@run,"how catalyst, accelerator can run, fast move",cat@run = capability,living
cat@sle,"sleet, ice rain while catalyst, accelerator","cat@sle = catalyst, accelerator state",action
cat@slo,"slope, incline form of catalyst, accelerator","cat@slo = execute in slope, incline way",action
cat@str,"strong form of catalyst, accelerator",cat@str = execute in strong way,action
cat@thr,"how catalyst, accelerator can thread, string",cat@thr = capability,living
cat@up,"upward direction of catalyst, accelerator","cat@up = catalyst, accelerator upward",spatial
cat@wak,"walk, step, pace while catalyst, accelerator","cat@wak = catalyst, accelerator state",action
cat@wal,"how catalyst, accelerator can wall, barrier",cat@wal = capability,living
cat@wea,"weak form of catalyst, accelerator",cat@wea = execute in weak way,action
cat@yet,"yet, still, up to now aspect of catalyst, accelerator","cat@yet = when to catalyst, accelerator",temporal
cau@bad,"bad form of cause, reason why, causation",cau@bad,abstract
cau@bea,"beautiful form of cause, reason why, causation",cau@bea,abstract
cau@con,"contraction form of cause, reason why, causation",cau@con,abstract
cau@fal,"failure, decline, sunset form of cause, reason why, causation",cau@fal,abstract
cau@goo,"good form of cause, reason why, causation",cau@goo,abstract
cau@imp,"implode, collapse form of cause, reason why, causation",cau@imp,abstract
cau@nec,"neck, connect form of cause, reason why, causation",cau@nec,abstract
cau@per,"perceive, sense form of cause, reason why, causation",cau@per,abstract
cau@tru,"true form of cause, reason why, causation",cau@tru,abstract
cav@trv,"traverse, path through semanti of cave, cavern",cav@trv,abstract
cel@cla,"conflicting constraints of cell, biological unit",cel@cla,living
cel@dro,"drought, dry of cell, biological unit",cel@dro,living
cel@hea,"healthy of cell, biological unit",cel@hea,living
cel@old,"old of cell, biological unit",cel@old,living
cel@rep,"reptile, cold-blood of cell, biological unit",cel@rep,living
cel@sou,"south, down-direction of cell, biological unit",cel@sou,living
cen@dia,"diameter, across relative to center",cen@dia,spatial
cen@dow,downward from center,cen@dow = spatial relationship,spatial
cen@eas,"east, sunrise-direction relative to center",cen@eas,spatial
cen@edg,edge from center,cen@edg = spatial relationship,spatial
cen@far,far from center,cen@far = spatial relationship,spatial
cen@fli,"flip, turn over relative to center",cen@fli,spatial
cen@for,forward relative to center,cen@for,spatial
cen@fro,in front relative to center,cen@fro,spatial
cen@gap,"gap, space between relative to center",cen@gap,spatial
cen@hei,"height, tall relative to center",cen@hei,spatial
cen@her,here relative to center,cen@her,spatial
cen@hex,"hexagon, six relative to center",cen@hex,spatial
cen@hig,"high, elevated relative to center",cen@hig,spatial
cen@ins,inside from center,cen@ins = spatial relationship,spatial
cen@lef,left relative to center,cen@lef,spatial
cen@len,"length, long relative to center",cen@len,spatial
cen@lin,line relative to center,cen@lin,spatial
cen@low,"low, ground relative to center",cen@low,spatial
cen@nea,near from center,cen@nea = spatial relationship,spatial
cen@nor,"north, up-direction relative to center",cen@nor,spatial
cen@out,outside from center,cen@out = spatial relationship,spatial
cen@up,upward from center,cen@up = spatial relationship,spatial
cer@gre,"greedy, selfish aspect of ceremony, ritual",cer@gre,social
cer@hel,"helping aspect of ceremony, ritual",cer@hel,social
cer@hon,"honest, truthful aspect of ceremony, ritual",cer@hon,social
cer@hur,"hurting aspect of ceremony, ritual",cer@hur,social
cer@kin,"kind, gentle aspect of ceremony, ritual",cer@kin,social
cer@lea,"leader aspect of ceremony, ritual",cer@lea,social
cer@los,"loss, defeat aspect of ceremony, ritual",cer@los,social
cer@loy,"loyal, faithful aspect of ceremony, ritual",cer@loy,social
cer@obe,"obeying aspect of ceremony, ritual",cer@obe,social
cer@oth,"other aspect of ceremony, ritual",cer@oth,social
cer@par,"parent aspect of ceremony, ritual",cer@par,social
cer@pro,"protecting aspect of ceremony, ritual",cer@pro,social
cer@pun,"punish, penalty aspect of ceremony, ritual",cer@pun,social
cha@bad,bad form of change,cha@bad = bad change,abstract
cha@bea,beautiful form of change,cha@bea = beautiful change,abstract
cha@bir,birth through change,cha@bir,temporal
cha@con,contraction form of change,cha@con = contraction change,abstract
cha@dea,death through change,cha@dea,temporal
cha@dec,decay through change,cha@dec,temporal
cha@era,"era, age through change",cha@era,temporal
cha@goo,good form of change,cha@goo = good change,abstract
cha@grd,"gradual, slow change through change",cha@grd,temporal
cha@imp,"implode, collapse form of change","cha@imp = implode, collapse change",abstract
cha@nec,"neck, connect form of change","cha@nec = neck, connect change",abstract
cha@obe,obeying of change,cha@obe,temporal
cha@per,"perceive, sense form of change","cha@per = perceive, sense change",abstract
cha@slo,"slope, incline form of change","cha@slo = slope, incline change",abstract
cha@str,strong form of change,cha@str = strong change,abstract
cha@wea,weak form of change,cha@wea = weak change,abstract
chi@gre,"greedy, selfish aspect of child",chi@gre,social
chi@hel,helping aspect of child,chi@hel,social
chi@hon,"honest, truthful aspect of child",chi@hon,social
chi@hur,hurting aspect of child,chi@hur,social
chi@kin,"kind, gentle aspect of child",chi@kin,social
chi@lea,leader aspect of child,chi@lea,social
chi@los,"loss, defeat aspect of child",chi@los,social
chi@loy,"loyal, faithful aspect of child",chi@loy,social
chi@obe,obeying aspect of child,chi@obe,social
chi@oth,other aspect of child,chi@oth,social
chi@par,parent aspect of child,chi@par,social
chi@pro,protecting aspect of child,chi@pro,social
chi@pun,"punish, penalty aspect of child",chi@pun,social
cho@bad,"bad form of choice, option",cho@bad,abstract
cho@bea,"beautiful form of choice, option",cho@bea,abstract
cho@con,"contraction form of choice, option",cho@con,abstract
cho@fal,"failure, decline, sunset form of choice, option",cho@fal,abstract
cho@goo,"good form of choice, option",cho@goo,abstract
cho@imp,"implode, collapse form of choice, option",cho@imp,abstract
cho@nec,"neck, connect form of choice, option",cho@nec,abstract
cho@per,"perceive, sense form of choice, option",cho@per,abstract
cho@tru,"true form of choice, option",cho@tru,abstract
cir@dia,"diameter, across relative to circle, round",cir@dia,spatial
cir@dow,"downward relative to circle, round",cir@dow,spatial
cir@eas,"east, sunrise-direction relative to circle, round",cir@eas,spatial
cir@edg,"edge relative to circle, round",cir@edg,spatial
cir@far,"far relative to circle, round",cir@far,spatial
cir@fli,"flip, turn over relative to circle, round",cir@fli,spatial
cir@for,"forward relative to circle, round",cir@for,spatial
cir@fro,"in front relative to circle, round",cir@fro,spatial
cir@gap,"gap, space between relative to circle, round",cir@gap,spatial
cir@hei,"height, tall relative to circle, round",cir@hei,spatial
cir@her,"here relative to circle, round",cir@her,spatial
cir@hex,"hexagon, six relative to circle, round",cir@hex,spatial
cir@hig,"high, elevated relative to circle, round",cir@hig,spatial
cir@ins,"inside relative to circle, round",cir@ins,spatial
cir@lef,"left relative to circle, round",cir@lef,spatial
cir@len,"length, long relative to circle, round",cir@len,spatial
cir@lin,"line relative to circle, round",cir@lin,spatial
cir@low,"low, ground relative to circle, round",cir@low,spatial
cir@nea,"near relative to circle, round",cir@nea,spatial
cir@nor,"north, up-direction relative to circle, round",cir@nor,spatial
cla@bad,bad form of conflicting constraints,cla@bad,abstract
cla@bea,beautiful form of conflicting constraints,cla@bea,abstract
cla@con,contraction form of conflicting constraints,cla@con,abstract
cla@fal,"failure, decline, sunset form of conflicting constraints",cla@fal,abstract
cla@goo,good form of conflicting constraints,cla@goo,abstract
cla@imp,"implode, collapse form of conflicting constraints",cla@imp,abstract
cla@nec,"neck, connect form of conflicting constraints",cla@nec,abstract
cla@per,"perceive, sense form of conflicting constraints",cla@per,abstract
cla@tou,touching of conflicting constraints,cla@tou,abstract
cla@tpe,"type, data type of conflicting constraints",cla@tpe,abstract
cla@tru,true form of conflicting constraints,cla@tru,abstract
cle@ang,express anger through clear,cle@ang,communication
cle@cal,express calm through clear,cle@cal,communication
cle@con,express contraction through clear,cle@con,communication
cle@fru,"express fruit, produce through clear",cle@fru,communication
cle@joy,express joy through clear,cle@joy,communication
cle@sad,express sadness through clear,cle@sad,communication
cle@ugl,ugly of clear,cle@ugl,abstract
cli@art,"art, creative work enabled by click, select",cli@art,technology
cli@ate,"make, cause to be, act enabled by click, select",cli@ate,technology
cli@bec,"because enabled by click, select",cli@bec,technology
cli@bld,"build, construct, assemble enabled by click, select",cli@bld,technology
cli@cau,"cause, reason why, causation enabled by click, select",cli@cau,technology
cli@closure,"function closure enabled by click, select",cli@closure,technology
cli@combinator,"combinator function enabled by click, select",cli@combinator,technology
cli@coroutine,"coroutine function enabled by click, select",cli@coroutine,technology
cli@cpu,"processor, compute enabled by click, select",cli@cpu,technology
cli@cra,"craft, handwork enabled by click, select",cli@cra,technology
cli@cst,"construct, build node (HVM primitiv enabled by click, select",cli@cst,technology
cli@derivation,"word formation process enabled by click, select",cli@derivation,technology
cli@dil,"diligence, hard work enabled by click, select",cli@dil,technology
cli@due,"due to, because of, owing to enabled by click, select",cli@due,technology
cli@ena,"enable, make possible, allow enabled by click, select",cli@ena,technology
cli@out,"outside of click, select",cli@out,abstract
clm@dee,"execute climb, ascend, scale in deep, profound, thorough manner",clm@dee,action
clm@dil,"execute climb, ascend, scale in diligence, hard work manner",clm@dil,action
